#Geograhical area index
#1 US + Canada
#2 Mexico + Central Am. + Carabien
#3 South Am
#4 Australia, New Zealand
#5 Asia
#6 Africa
#7 Mid-east
#8 Western Europe
#9 Former Soviet Block
#10 other or unknown
#11 European Union
#12 Pacific Islands
#
%Title
Test Data Number One
%Format
%Header
Country,Exports,Trade Balance,Year,Population,Geographical Area
%Data
Saint Vincent and the Grenadines,8540,-2210,1990,109359,2
Saint Vincent and the Grenadines,6742,-4151,1991,110211,2
Saint Vincent and the Grenadines,7903,-2373,1992,110980,2
Saint Vincent and the Grenadines,5712,-4345,1993,111682,2
Saint Vincent and the Grenadines,4885,-5782,1994,112341,2
Saint Vincent and the Grenadines,6194,-3820,1995,112978,2
Saint Vincent and the Grenadines,5259,-3700,1996,113594,2
Saint Vincent and the Grenadines,4730,-8226,1997,114186,2
Saint Vincent and the Grenadines,5009,-9160,1998,114767,2
Saint Vincent and the Grenadines,4961,-6748,1999,115351,2
Saint Vincent and the Grenadines,5175,-2106,2000,115949,2
Saint Vincent and the Grenadines,4275,-3371,2001,116567,2
Saint Vincent and the Grenadines,4124,-3652,2002,117201,2
Saint Vincent and the Grenadines,4008,-6855,2003,117847,2
Saint Vincent and the Grenadines,3927,-8771,2004,118494,2
Saint Vincent and the Grenadines,4257,-9501,2005,119137,2
Samoa,1050,-3138,1986,157546,12
Samoa,1176,-4253,1987,158315,12
Samoa,1509,-4284,1988,159220,12
Samoa,1286,-4203,1989,160233,12
Samoa,887,-5041,1990,161330,12
Samoa,647,-7500,1991,162502,12
Samoa,582,-9086,1992,163759,12
Samoa,643,-8343,1993,165120,12
Samoa,351,-5047,1994,166611,12
Samoa,876,-5103,1995,168245,12
Samoa,1008,-4986,1996,170039,12
Samoa,1463,-6032,1997,171966,12
Samoa,2039,-4305,1998,173927,12
Samoa,1815,-6075,1999,175794,12
Samoa,1189,-9059,2004,182507,12
Samoa,1199,-11629,2005,183845,12
Sao Tome and Principe,988,-2058,1986,106065,10
Sao Tome and Principe,652,-1396,1987,108485,10
Sao Tome and Principe,950,-1147,1988,111038,10
Sao Tome and Principe,491,-1243,1989,113610,10
Sao Tome and Principe,422,-1416,1990,116117,10
Sao Tome and Principe,474,-1593,1998,135205,10
Sao Tome and Principe,390,-1740,1999,137664,10
Sao Tome and Principe,269,-1988,2000,140131,10
Sao Tome and Principe,328,-2044,2001,142610,10
Sao Tome and Principe,512,-2291,2002,145106,10
Saudi Arabia,2016860,-1459970,1986,13581997,7
Saudi Arabia,2316800,-1138400,1987,14311016,7
Saudi Arabia,2434400,-805867,1988,15022596,7
Saudi Arabia,2834670,-820000,1989,15679120,7
Saudi Arabia,4435500,350133,1990,16255743,7
Saudi Arabia,4772530,-1405870,1991,16738406,7
Saudi Arabia,5022000,-876480,1992,17139601,7
Saudi Arabia,4233870,-465307,1993,17494146,7
Saudi Arabia,4255730,673387,1994,17852219,7
Saudi Arabia,4997410,857587,1995,18250583,7
Saudi Arabia,6064770,1382890,1996,18700473,7
Saudi Arabia,6065150,1263850,1997,19192520,7
Saudi Arabia,3877010,-86280,1998,19717855,7
Saudi Arabia,5068890,1154860,1999,20260013,7
Saudi Arabia,7748050,2932750,2000,20806589,7
Saudi Arabia,6797280,2509270,2001,21357325,7
Saudi Arabia,7246430,2803720,2002,21916446,7
Saudi Arabia,9324410,4423180,2003,22480812,7
Saudi Arabia,12599800,6510330,2004,23046972,7
Saudi Arabia,17464000,10128000,2005,23612360,7
Senegal,69453,-33901,1986,7004616,6
Senegal,70750,-38854,1987,7221239,6
Senegal,71318,-36405,1988,7443653,6
Senegal,80414,-31664,1989,7669139,6
Senegal,93791,-38724,1990,7895770,6
Senegal,84854,-43952,1991,8122813,6
Senegal,86062,-50395,1992,8350878,6
Senegal,73682,-51730,1993,8581053,6
Senegal,81877,-28359,1994,8815064,6
Senegal,99331,-31530,1995,9054244,6
Senegal,98803,-29304,1996,9298713,6
Senegal,90455,-29148,1997,9548257,6
Senegal,96771,-33065,1998,9803490,6
Senegal,102707,-35999,1999,10065097,6
Senegal,91982,-43483,2000,10333507,6
Senegal,100311,-44084,2001,10608866,6
Senegal,106653,-55548,2002,10890900,6
Senegal,125697,-83085,2003,11179033,6
Senegal,150943,-101445,2004,11472432,6
Seychelles,441,-3619,1986,67687,10
Seychelles,808,-2838,1987,68682,10
Seychelles,1726,-3489,1988,69847,10
Seychelles,3436,-4113,1989,70999,10
Seychelles,5714,-1794,1990,72012,10
Seychelles,4932,-1382,1991,72843,10
Seychelles,4807,-1495,1992,73540,10
Seychelles,5033,905,1993,74180,10
Seychelles,5298,3508,1994,74873,10
Seychelles,5350,1445,1995,75696,10
Seychelles,9666,-4734,1996,76667,10
Seychelles,11356,-6170,1997,77747,10
Seychelles,12283,-9649,1998,78894,10
Seychelles,14566,-10278,1999,80038,10
Seychelles,19478,-2013,2000,81129,10
Seychelles,21645,-13361,2001,82158,10
Seychelles,23670,-4685,2002,83130,10
Seychelles,28642,2103,2003,84027,10
Seychelles,30110,-4441,2004,84832,10
Seychelles,35090,-18661,2005,85532,10
Seychelles,42281,-16827,2006,86122,10
Sierra Leone,13172,715,1986,3685033,6
Sierra Leone,14197,2603,1987,3801235,6
Sierra Leone,10790,-1633,1988,3917669,6
Sierra Leone,14202,-2732,1989,4016889,6
Sierra Leone,14851,-518,1990,4087222,6
Sierra Leone,14950,1474,1991,4124636,6
Sierra Leone,15037,-448,1992,4135476,6
Sierra Leone,11826,-7188,1993,4131424,6
Sierra Leone,11598,-8012,1994,4129420,6
Sierra Leone,4146,-13167,1995,4142702,6
Sierra Leone,4677,-22455,1996,4172085,6
Sierra Leone,1571,-7210,1997,4216281,6
Sierra Leone,3164,-7736,1998,4283602,6
Sierra Leone,628,-15908,1999,4383581,6
Sierra Leone,1279,-19472,2000,4521449,6
Sierra Leone,2915,-19491,2001,4703450,6
Sierra Leone,5983,-23753,2002,4924199,6
Sierra Leone,11079,-22764,2003,5162802,6
Sierra Leone,15407,-15120,2004,5390368,6
Sierra Leone,18506,-18919,2005,5586403,6
Singapore,2273840,5832,1986,2767126,5
Singapore,2909610,3950,1987,2824011,5
Singapore,4070300,179351,1988,2882023,5
Singapore,4569990,249659,1989,2945193,5
Singapore,5467900,253667,1990,3016380,5
Singapore,6133290,458927,1991,3095684,5
Singapore,6656510,484203,1992,3181870,5
Singapore,7785800,455226,1993,3274737,5
Singapore,9791900,1050030,1994,3373764,5
Singapore,13215800,1313730,1995,3478037,5
Singapore,14102000,1404800,1996,3588147,5
Singapore,14212300,1227380,1997,3702769,5
Singapore,11975100,1703180,1998,3816713,5
Singapore,12705100,1362980,1999,3923191,5
Singapore,15309500,1262150,2000,4017426,5
Singapore,13660900,1292450,2001,4097137,5
Singapore,14077600,1497780,2002,4163766,5
Singapore,16174000,2610100,2003,4220915,5
Singapore,20102600,2969770,2004,4274120,5
Singapore,23226000,3493800,2005,4327468,5
Slovakia,545247,-63982,1993,5327333,9
Slovakia,670609,72238,1994,5347721,9
Slovakia,859083,31122,1995,5363680,9
Slovakia,882379,-224461,1996,5374755,9
Slovakia,964073,-201136,1997,5381567,9
Slovakia,1072020,-233423,1998,5385066,9
Slovakia,1020130,-105371,1999,5386682,9
Slovakia,1189610,-45904,2000,5387539,9
Slovakia,1446010,-170477,2002,5387515,9
Slovakia,2194400,-40780,2003,5386981,9
Slovenia,668090,97060,1992,1942991,9
Slovenia,608290,22050,1993,1950838,9
Slovenia,683150,30630,1994,1957997,9
Slovenia,835020,-37160,1995,1964206,9
Slovenia,835290,-18570,1996,1969333,9
Slovenia,840600,-13870,1997,1973496,9
Slovenia,909100,-29190,1998,1976998,9
Slovenia,862340,-88030,1999,1980274,9
Slovenia,880800,-68930,2000,1983628,9
Slovenia,934270,-11710,2001,1987176,9
Slovenia,1047100,33600,2002,1990791,9
Slovenia,1291630,-1410,2003,1994247,9
Slovenia,1606460,-40600,2004,1997206,9
Slovenia,1814600,-19760,2005,1999425,9
Slovenia,2140190,-30846,2006,2000831,9
Solomon Islands,6385,-3681,1986,280179,12
Solomon Islands,6319,-3504,1987,288378,12
Solomon Islands,8192,-6694,1988,296555,12
Solomon Islands,7469,-6834,1989,304912,12
Solomon Islands,7011,-6059,1990,313600,12
Solomon Islands,8343,-6520,1991,322658,12
Solomon Islands,10173,-2770,1992,332045,12
Solomon Islands,12905,-4606,1993,341733,12
Solomon Islands,14216,-5606,1994,351670,12
Solomon Islands,16829,-2135,1995,361812,12
Solomon Islands,16150,-2137,1996,372156,12
Solomon Islands,15644,-6492,1997,382708,12
Solomon Islands,14182,-1753,1998,393452,12
Solomon Islands,16456,2333,1999,404365,12
Somalia,9469,-37560,1986,6494295,6
Somalia,9400,-39221,1987,6567736,6
Somalia,5839,-26160,1988,6658331,6
Somalia,6770,-40061,1989,6718479,6
South Africa,1806020,576351,1986,33672132,6
South Africa,2365240,850284,1987,34349504,6
South Africa,2439300,597705,1988,35028773,6
South Africa,2270640,508255,1989,35760286,6
South Africa,2375300,614318,1990,36577424,6
South Africa,2293500,512381,1991,37492564,6
South Africa,2453990,528646,1992,38486112,6
South Africa,2601730,610207,1993,39520023,6
South Africa,2625060,306068,1994,40539858,6
South Africa,2978350,102723,1995,41504529,6
South Africa,3042650,219224,1996,42401141,6
South Africa,3116660,171021,1997,43235787,6
South Africa,2919880,172967,1998,44009338,6
South Africa,2853400,345974,1999,44728547,6
South Africa,3194970,392038,2000,45398280,6
South Africa,3106360,486780,2001,46017150,6
South Africa,3177210,423724,2002,46580809,6
South Africa,3870010,368411,2003,47088767,6
South Africa,4823690,-92768,2004,47540927,6
South Africa,5528000,-220148,2005,47938663,6
South Africa,6376660,-844358,2006,48282459,6
Spain,2775550,465527,1986,38524765,8
Spain,3475320,-29144,1987,38613910,8
Spain,4069200,-497893,1988,38693465,8
Spain,4494470,-1277180,1989,38770646,8
Spain,5565800,-1727500,1990,38851322,8
Spain,6016680,-1842620,1991,38944489,8
Spain,6582630,-1781290,1992,39053024,8
Spain,6202140,-345438,1993,39169698,8
Spain,7392490,10213,1994,39282982,8
Spain,9344200,-109006,1995,39387976,8
Spain,10284300,288482,1996,39472827,8
Spain,10719800,382868,1997,39549211,8
Spain,11231000,-180946,1998,39663188,8
Spain,11291900,-1145680,1999,39876699,8
Spain,11576900,-1780540,2000,40229429,8
Spain,11752200,-1404890,2001,40742013,8
Spain,12716200,-1309730,2002,41388300,8
Spain,15804900,-1879770,2003,42103324,8
Spain,18520900,-3984060,2004,42795447,8
Spain,19658000,-5767000,2005,43397491,8
Spain,21648300,-7276570,2006,43886817,8
Sri Lanka,120853,-75018,1986,16230920,5
Sri Lanka,139385,-67722,1987,16452880,5
Sri Lanka,147709,-74840,1988,16676173,5
Sri Lanka,150506,-77032,1989,16897356,5
Sri Lanka,185304,-67204,1990,17113532,5
Sri Lanka,200332,-102058,1991,17324413,5
Sri Lanka,230140,-91687,1992,17529686,5
Sri Lanka,278569,-98210,1993,17726343,5
Sri Lanka,320834,-138343,1994,17910744,5
Sri Lanka,379793,-136459,1995,18080315,5
Sri Lanka,409524,-123856,1996,18234275,5
Sri Lanka,463865,-106691,1997,18373340,5
Sri Lanka,480796,-95048,1998,18498471,5
Sri Lanka,459619,-121864,1999,18611355,5
Sri Lanka,543955,-172675,2000,18713711,5
Sri Lanka,481689,-95405,2001,18805329,5
Sri Lanka,469916,-111189,2002,18887160,5
Sri Lanka,513320,-113996,2003,18963554,5
Sri Lanka,575724,-182385,2004,19040092,5
Sri Lanka,634673,-217871,2005,19120763,5
Sri Lanka,688260,-311371,2006,19207441,5
Sudan,32676,-27444,1986,23658169,5
Sudan,26504,-47366,1987,24220788,5
Sudan,42700,-60445,1988,24766864,5
Sudan,54436,-61217,1989,25329626,5
Sudan,32650,-37780,1990,25933082,5
Sudan,30250,-95600,1991,26583252,5
Sudan,21340,-64540,1992,27272464,5
Sudan,30630,-26691,1993,27994255,5
Sudan,52390,-66900,1994,28737237,5
Sudan,55570,-55730,1995,29492028,5
Sudan,62030,-86927,1996,30260834,5
Sudan,59420,-96900,1997,31044413,5
Sudan,59570,-132470,1998,31830091,5
Sudan,78010,-66920,1999,32601604,5
Sudan,180670,-17980,2000,33348627,5
Sudan,169870,-34210,2001,34063430,5
Sudan,194911,-103073,2002,34752339,5
Sudan,254217,-78774,2003,35436381,5
Sudan,377775,-82883,2004,36145241,5
Sudan,482428,-285220,2005,36899747,5
Sudan,565656,-403199,2006,37707483,5
Suriname,60170,-3270,1986,388262,3
Suriname,60470,13820,1987,392477,3
Suriname,63970,11660,1988,396078,3
Suriname,98030,27010,1989,399304,3
Suriname,83160,2900,1990,402347,3
Suriname,61750,-13660,1991,405147,3
Suriname,60860,-1360,1992,407654,3
Suriname,29830,2930,1993,410097,3
Suriname,29360,5840,1994,412778,3
Suriname,41560,6570,1995,415903,3
Suriname,39720,-6730,1996,419575,3
Suriname,40160,-6610,1997,423708,3
Suriname,34970,-15210,1998,428092,3
Suriname,34200,-2790,1999,432413,3
Suriname,39910,2841,2000,436443,3
Suriname,43700,2490,2001,440114,3
Suriname,36930,-8020,2002,443485,3
Suriname,48780,-10580,2003,446609,3
Suriname,78220,-8760,2004,449579,3
Suriname,121150,-12530,2005,452468,3
Swaziland,27842,-4937,1986,744388,6
Swaziland,42391,-163,1987,775354,6
Swaziland,46660,-2345,1988,807376,6
Swaziland,49411,-1941,1989,837837,6
Swaziland,55033,-10985,1990,864894,6
Swaziland,59377,-13154,1991,887719,6
Swaziland,63846,-25109,1992,906926,6
Swaziland,68467,-26747,1993,923872,6
Swaziland,79093,-13913,1994,940616,6
Swaziland,86781,-25423,1995,958614,6
Swaziland,85053,-34387,1996,978256,6
Swaziland,96131,-25713,1997,998927,6
Swaziland,96784,-28222,1998,1019862,6
Swaziland,93668,-25398,1999,1039899,6
Swaziland,90502,-21614,2000,1058185,6
Swaziland,104254,-19341,2001,1074566,6
Swaziland,102918,-312,2002,1089300,6
Swaziland,162564,7342,2003,1102437,6
Swaziland,173844,-2842,2004,1114131,6
Swaziland,182768,-10209,2005,1124529,6
Sweden,3684550,323581,1986,8377418,8
Sweden,4401300,279781,1987,8413202,8
Sweden,4936700,263748,1988,8456653,8
Sweden,5107050,98314,1989,8505836,8
Sweden,5683500,7015,1990,8558830,8
Sweden,5454250,372975,1991,8616521,8
Sweden,5536280,382551,1992,8678155,8
Sweden,4934850,678194,1993,8738187,8
Sweden,6019900,854206,1994,8789384,8
Sweden,7990340,1438360,1995,8826949,8
Sweden,8468960,1681130,1996,8848174,8
Sweden,8319370,1624450,1997,8855417,8
Sweden,8517900,1386240,1998,8855221,8
Sweden,8756800,1300120,1999,8857029,8
Sweden,8743100,1202730,2000,8867689,8
Sweden,7620000,1280900,2001,8889328,8
Sweden,8417240,1668210,2002,8919969,8
Sweden,10208000,2081580,2003,8957369,8
Sweden,12318700,2885490,2004,8997688,8
Sweden,13132000,2702200,2005,9038049,8
Sweden,14875600,3201450,2006,9078176,8
Switzerland,4879990,-1223,1986,6592161,8
Switzerland,5560390,101865,1987,6650080,8
Switzerland,6316400,169275,1988,6709557,8
Switzerland,6581040,175882,1989,6770927,8
Switzerland,7803200,64441,1990,6834102,8
Switzerland,7425480,423440,1991,6899297,8
Switzerland,7986960,907220,1992,6965273,8
Switzerland,7542400,1164630,1993,7028820,8
Switzerland,8262490,1332920,1994,7085803,8
Switzerland,9713940,1440340,1995,7133465,8
Switzerland,9554360,1258400,1996,7170226,8
Switzerland,9503950,1406130,1997,7197377,8
Switzerland,9378170,1269760,1998,7218609,8
Switzerland,9178700,1420780,1999,7239266,8
Switzerland,9481000,1614510,2000,7263234,8
Switzerland,9589730,1395720,2001,7291780,8
Switzerland,10428100,2016350,2002,7323811,8
Switzerland,11883700,2307350,2003,7357994,8
Switzerland,14187400,3392500,2004,7392067,8
Switzerland,15131000,2570800,2005,7424389,8
Switzerland,16725100,2823200,2006,7454795,8
Syrian Arab Republic,103690,-145890,1986,11197414,7
Syrian Arab Republic,135730,-95840,1987,11579113,7
Syrian Arab Republic,134760,-60810,1988,11960039,7
Syrian Arab Republic,301250,129290,1989,12340557,7
Syrian Arab Republic,415600,207490,1990,12720920,7
Syrian Arab Republic,343790,114620,1991,13101658,7
Syrian Arab Republic,310000,33750,1992,13482412,7
Syrian Arab Republic,325300,-10600,1993,13861775,7
Syrian Arab Republic,332900,-102300,1994,14237929,7
Syrian Arab Republic,385800,21600,1995,14610348,7
Syrian Arab Republic,417800,-10100,1996,14977507,7
Syrian Arab Republic,405700,54700,1997,15341924,7
Syrian Arab Republic,314200,-300,1998,15712020,7
Syrian Arab Republic,380600,25500,1999,16099050,7
Syrian Arab Republic,514600,145500,2000,16510861,7
Syrian Arab Republic,570600,151100,2001,16949340,7
Syrian Arab Republic,666800,188600,2002,17411357,7
Syrian Arab Republic,576200,85700,2003,17893264,7
Syrian Arab Republic,526030,-57370,2004,18389228,7
Syrian Arab Republic,654200,-94910,2005,18893881,7
Tajikistan,69914,-15965,2002,6317813,9
Tajikistan,90619,-15254,2003,6390641,9
Tajikistan,109693,-22512,2004,6467377,9
Tajikistan,110809,-42801,2005,6550213,9
Tajikistan,151180,-70308,2006,6639837,9
Thailand,880316,83901,1986,51549830,5
Thailand,1159470,23942,1987,52258104,5
Thailand,1578100,-99627,1988,52948179,5
Thailand,1983360,-196367,1989,53624669,5
Thailand,2281100,-664101,1990,54291323,5
Thailand,2823220,-675696,1991,54947895,5
Thailand,3209940,-524128,1992,55594639,5
Thailand,3639760,-570697,1993,56236105,5
Thailand,4447780,-748213,1994,56877831,5
Thailand,5544660,-1195470,1995,57522738,5
Thailand,5440840,-1206580,1996,58174703,5
Thailand,5665590,-1966,1997,58830127,5
Thailand,5275290,1739520,1998,59475310,5
Thailand,5677510,1506560,1999,60091464,5
Thailand,6789360,1010860,2000,60665589,5
Thailand,6308230,695730,2001,61191592,5
Thailand,6608900,775106,2002,61674588,5
Thailand,7808330,880412,2003,62126510,5
Thailand,9497870,674828,2004,62565066,5
Thailand,10920000,-375274,2005,63002911,5
Thailand,12821200,688975,2006,63443950,5
The former Yugoslav Republic of Macedonia,114744,-47149,1996,1973405,9
The former Yugoslav Republic of Macedonia,120143,-53220,1997,1983250,9
The former Yugoslav Republic of Macedonia,129151,-57490,1998,1992757,9
The former Yugoslav Republic of Macedonia,118998,-45385,1999,2001524,9
The former Yugoslav Republic of Macedonia,132073,-64172,2000,2009264,9
The former Yugoslav Republic of Macedonia,115543,-54556,2001,2015911,9
The former Yugoslav Republic of Macedonia,111215,-82657,2002,2021568,9
The former Yugoslav Republic of Macedonia,136265,-85806,2003,2026320,9
The former Yugoslav Republic of Macedonia,167243,-116643,2004,2030311,9
The former Yugoslav Republic of Macedonia,203964,-109118,2005,2033655,9
The former Yugoslav Republic of Macedonia,239626,-126004,2006,2036376,9
Togo,36235,-12482,1986,3478037,6
Togo,39750,-11739,1987,3602999,6
Togo,43534,-16415,1988,3726788,6
Togo,41169,-12621,1989,3846524,6
Togo,51383,-18392,1990,3960702,6
Togo,51442,-22240,1991,4067001,6
Togo,41972,-20177,1992,4167220,6
Togo,26400,-15488,1993,4268992,6
Togo,32838,-9159,1994,4382812,6
Togo,37740,-20600,1995,4515843,6
Togo,44064,-21233,1996,4671328,6
Togo,42247,-18744,1997,4846061,6
Togo,42027,-20640,1998,5032823,6
Togo,39147,-16012,1999,5221040,6
Togo,36182,-17852,2000,5403039,6
Togo,35721,-21700,2001,5576449,6
Togo,42423,-20950,2002,5743542,6
Togo,59771,-26625,2003,5906890,6
Togo,60101,-34158,2004,6070843,6
Togo,66018,-61392,2005,6238572,6
Tonga,632,-2758,1986,92450,12
Tonga,688,-3064,1987,92692,12
Tonga,872,-4840,1988,93230,12
Tonga,939,-3431,1989,93894,12
Tonga,1191,-3585,1990,94551,12
Tonga,1343,-3809,1991,95191,12
Tonga,1230,-4462,1992,95840,12
Tonga,1608,-4572,1993,96456,12
Tonga,665,-6501,2001,98246,12
Tonga,1812,-6456,2002,98440,12
Tonga,2074,-7279,2003,98685,12
Tonga,1902,-9216,2004,98991,12
Tonga,1830,-9457,2005,99361,12
Tonga,958,-10376,2006,99811,12
Trinidad and Tobago,137839,-17295,1986,1191693,2
Trinidad and Tobago,141431,7250,1987,1201253,2
Trinidad and Tobago,146945,22259,1988,1208714,2
Trinidad and Tobago,155075,34658,1989,1215749,2
Trinidad and Tobago,196009,86192,1990,1223563,2
Trinidad and Tobago,177447,43505,1991,1232502,2
Trinidad and Tobago,169136,58661,1992,1242157,2
Trinidad and Tobago,150009,43422,1993,1252079,2
Trinidad and Tobago,177764,62954,1994,1261538,2
Trinidad and Tobago,245614,68835,1995,1270008,2
Trinidad and Tobago,235408,62622,1996,1277422,2
Trinidad and Tobago,244795,-23625,1997,1284015,2
Trinidad and Tobago,225802,-32447,1998,1289925,2
Trinidad and Tobago,281580,39280,1999,1295374,2
Trinidad and Tobago,429030,113490,2000,1300545,2
Trinidad and Tobago,430420,92190,2001,1305464,2
Trinidad and Tobago,392000,50170,2002,1310124,2
Trinidad and Tobago,520490,160700,2003,1314639,2
Trinidad and Tobago,640290,198820,2004,1319139,2
Tunisia,176316,-64482,1986,7510050,6
Tunisia,210098,-15085,1987,7691257,6
Tunisia,239915,699,1988,7871234,6
Tunisia,293052,-47719,1989,8047608,6
Tunisia,351461,-83568,1990,8218520,6
Tunisia,369557,-63053,1991,8383378,6
Tunisia,404101,-122338,1992,8542088,6
Tunisia,374598,-137984,1993,8693979,6
Tunisia,464335,-66136,1994,8838487,6
Tunisia,546973,-83215,1995,8975373,6
Tunisia,551875,-37292,1996,9104300,6
Tunisia,555923,-52356,1997,9225730,6
Tunisia,572395,-65073,1998,9341306,6
Tunisia,587325,-45523,1999,9453294,6
Tunisia,584015,-70476,2000,9563500,6
Tunisia,662815,-88204,2001,9672460,6
Tunisia,685712,-89258,2002,9780271,6
Tunisia,802742,-94454,2003,9887748,6
Tunisia,967910,-78686,2004,9995700,6
Tunisia,1048800,-14568,2005,10104685,6
Turkey,758300,-142800,1986,53236598,7
Turkey,1032200,-104400,1987,54279351,7
Turkey,1192900,202000,1988,55295452,7
Turkey,1178000,-16200,1989,56310879,7
Turkey,1302600,-448200,1990,57344544,7
Turkey,1366700,-212600,1991,58399441,7
Turkey,1489100,-226900,1992,59469091,7
Turkey,1561100,-734000,1993,60551475,7
Turkey,1839000,288500,1994,61642058,7
Turkey,2197500,-353200,1995,62736455,7
Turkey,3206700,-360700,1996,63836578,7
Turkey,3211000,-413600,1997,64941238,7
Turkey,3066200,-53500,1998,66038989,7
Turkey,2884200,-268000,1999,67114822,7
Turkey,3072100,-1058500,2000,68158412,7
Turkey,3437300,540600,2001,69164100,7
Turkey,4012400,60200,2002,70135665,7
Turkey,5120600,-349900,2003,71083896,7
Turkey,6704700,-1108100,2004,72024777,7
Turkey,7694900,-1825800,2005,72969723,7
Turkey,9188900,-2682900,2006,73921768,7
Turkmenistan,169202,-2176,1996,4270082,9
Turkmenistan,77415,-63377,1997,4334356,9
Uganda,40680,-7280,1986,15342378,6
Uganda,33360,-36020,1987,15926858,6
Uganda,26630,-49240,1988,16545888,6
Uganda,27770,-54780,1989,17187128,6
Uganda,17780,-50850,1990,17840904,6
Uganda,17320,-42490,1991,18506565,6
Uganda,15120,-48390,1992,19185011,6
Uganda,20000,-47779,1993,19870116,6
Uganda,46300,-62340,1994,20554830,6
Uganda,56030,-82522,1995,21235089,6
Uganda,63933,-87747,1996,21907615,6
Uganda,59262,-95418,1997,22576101,6
Uganda,51020,-120796,1998,23252340,6
Uganda,48350,-72880,1999,23952752,6
Uganda,44990,-74540,2000,24689655,6
Uganda,47555,-78857,2001,25467495,6
Uganda,48069,-90446,2002,26284492,6
Uganda,56302,-91932,2003,27139128,6
Uganda,70893,-106579,2004,28027594,6
Uganda,86415,-121274,2005,28947181,6
Uganda,100386,-175381,2006,29898598,6
Ukraine,1389400,-136600,1994,51264906,9
Ukraine,1424400,-119000,1995,51016141,9
Ukraine,1554700,-112200,1996,50677715,9
Ukraine,1541800,-153600,1997,50259522,9
Ukraine,1369900,-120700,1998,49791010,9
Ukraine,1318900,182100,1999,49312594,9
Ukraine,1572200,157500,2000,48854427,9
Ukraine,1709100,61300,2001,48427550,9
Ukraine,1866900,185700,2002,48027355,9
Ukraine,2373900,128800,2003,47649046,9
Ukraine,3343200,497800,2004,47281800,9
Ukraine,3502400,67100,2005,46917544,9
Ukraine,3894900,-306800,2006,46557424,9
United Kingdom,10642900,-495975,1986,56661464,8
United Kingdom,13046700,-809238,1987,56792010,8
United Kingdom,14373000,-3034900,1988,56938166,8
United Kingdom,15144000,-3462740,1989,57089231,8
United Kingdom,18280000,-2486300,1990,57237499,8
United Kingdom,18350600,-1089010,1991,57381141,8
United Kingdom,18936600,-1362800,1992,57522674,8
United Kingdom,18331300,-957764,1993,57664118,8
United Kingdom,20718800,-698083,1994,57809064,8
United Kingdom,24231800,-488652,1995,57960638,8
United Kingdom,26124700,-366277,1996,58117495,8
United Kingdom,28153700,289808,1997,58279772,8
United Kingdom,27172300,-1183060,1998,58453850,8
United Kingdom,26888400,-2499770,1999,58648046,8
United Kingdom,28437800,-2920060,2000,58867587,8
United Kingdom,27227900,-3850320,2001,59115560,8
United Kingdom,27986600,-4648420,2002,59388333,8
United Kingdom,30779900,-4809000,2003,59676074,8
United Kingdom,34965700,-6396110,2004,59964950,8
United Kingdom,38432000,-8022500,2005,60244834,8
United Kingdom,45031800,-10006400,2006,60512058,8
United Republic of Tanzania,33586,-69570,1986,22515094,6
United Republic of Tanzania,28787,-83167,1987,23212901,6
United Republic of Tanzania,38648,-79254,1988,23935148,6
United Republic of Tanzania,41510,-81024,1989,24693418,6
United Republic of Tanzania,40780,-93564,1990,25494236,6
United Republic of Tanzania,36298,-102472,1991,26344160,6
United Republic of Tanzania,40635,-110023,1992,27236073,6
United Republic of Tanzania,44687,-125622,1993,28146295,6
United Republic of Tanzania,51940,-87497,1994,29042382,6
United Republic of Tanzania,68254,-87422,1995,29902102,6
United Republic of Tanzania,76409,-79432,1996,30715489,6
United Republic of Tanzania,71530,-75236,1997,31492174,6
United Republic of Tanzania,58947,-120898,1998,32253639,6
United Republic of Tanzania,54330,-106680,1999,33031493,6
United Republic of Tanzania,66330,-75931,2000,33848753,6
United Republic of Tanzania,85131,-44299,2001,34712186,6
United Republic of Tanzania,97956,-24416,2002,35615114,6
United Republic of Tanzania,121615,-49526,2003,36550910,6
United Republic of Tanzania,147306,-85087,2004,37508004,6
United Republic of Tanzania,167577,-125996,2005,38477873,6
United Republic of Tanzania,172304,-190720,2006,39458709,6
United States,22410500,-13852500,1986,245598258,1
United States,25094200,-15168100,1987,248160372,1
United States,32109000,-11466000,1988,250757356,1
United States,36127000,-9312000,1989,253400645,1
United States,38880000,-8086000,1990,256097549,1
United States,41574000,-3119000,1991,258849984,1
United States,44140100,-3920710,1992,261652086,1
United States,45884300,-7031100,1993,264493898,1
United States,50490900,-9851100,1994,267361632,1
United States,57704400,-9638700,1995,270244831,1
United States,61401300,-10403500,1996,273138278,1
United States,68032600,-10828800,1997,276042755,1
United States,67237700,-16593000,1998,278960935,1
United States,68627100,-26511400,1999,281898081,1
United States,77463200,-37973500,2000,284857068,1
United States,72184200,-36502600,2001,287836758,1
United States,68593300,-42352500,2002,290832028,1
United States,71670400,-49691500,2003,293836937,1
United States,81101000,-61209100,2004,296843882,1
United States,89846000,-71437000,2005,299846449,1
United States,102685000,-75852400,2006,302841225,1
Uruguay,108780,30826,1986,3027588,3
Uruguay,118230,15307,1987,3046352,3
Uruguay,140450,32514,1988,3065300,3
Uruguay,159900,47437,1989,3084929,3
Uruguay,169290,49909,1990,3105559,3
